case_index,instance,topology,circuit_mode,num_qubits,cx_count,independent_rollout_variant,lightsabre_seed,lightsabre_swap,lightsabre_depth,lightsabre_budget_ms,independent_rollout_swap,independent_rollout_depth,baseline_rollout_backend,baseline_rollout_safe_swap,baseline_rollout_safe_depth,cross_layout_swap,cross_layout_depth,cross_layout_attempts,selected_backend,selected_label,selected_swap,selected_depth,gain_vs_lightsabre,gain_vs_baseline_rollout,initial_mapping,final_mapping,semantic_equivalent,topology_valid,metric_valid,wall_ms
0,blind_v6_000_r0_line_n8_uniform_f3_cx24,line,uniform,8,24,adaptive_mapping/v1_best/k2,12,19,44,130.57550007943064,19,46,lightsabre,19,44,18,48,10,cross_layout,cross_layout:ls_seed11,18,48,1,1,"7,6,2,5,1,4,3,0","5,7,2,0,3,1,6,4",True,True,True,966.6105000069365
1,blind_v6_001_r0_line_n10_uniform_f6_cx60,line,uniform,10,60,adaptive_mapping/v1_best/k2,8,83,147,221.55290027149022,86,175,lightsabre,83,147,91,167,5,lightsabre,lightsabre:seed8,83,147,0,0,"5,3,1,8,7,9,2,4,6,0","6,5,1,2,4,7,0,3,9,8",True,True,True,6831.039299955592
2,blind_v6_002_r0_line_n6_uniform_f12_cx72,line,uniform,6,72,adaptive_mapping/v1_best/k2,8,54,175,180.26439961977303,45,148,independent_rollout,45,148,43,142,10,cross_layout,cross_layout:ls_seed8,43,142,11,2,"5,2,0,3,4,1","1,3,0,5,4,2",True,True,True,2984.7789000486955
3,blind_v6_003_r0_line_n10_far_f3_cx30,line,far,10,30,adaptive_mapping/v1_best/k2,19,13,37,115.86170003283769,18,54,lightsabre,13,37,15,48,14,lightsabre,lightsabre:seed19,13,37,0,0,"1,4,8,7,5,0,3,2,9,6","2,4,6,9,7,0,3,1,8,5",True,True,True,550.211799913086
4,blind_v6_004_r0_line_n6_far_f6_cx36,line,far,6,36,adaptive_mapping/v1_best/k2,18,10,53,105.1791999489069,8,45,independent_rollout,8,45,8,45,20,cross_layout,cross_layout:ls_seed7,8,45,2,0,"2,0,4,5,1,3","2,0,4,5,1,3",True,True,True,454.04940005391836
5,blind_v6_005_r0_line_n8_far_f12_cx96,line,far,8,96,adaptive_mapping/v1_best/k2,8,61,175,199.8780001886189,59,179,independent_rollout,59,179,59,178,10,cross_layout,cross_layout:ls_seed10,59,178,2,0,"0,2,6,5,7,1,3,4","1,4,3,6,7,0,2,5",True,True,True,6258.126299944706
6,blind_v6_006_r0_line_n6_phase_shift_f3_cx18,line,phase_shift,6,18,adaptive_mapping/v1_best/k2,16,8,32,98.47199963405728,8,32,lightsabre,8,32,8,32,16,lightsabre,lightsabre:seed16,8,32,0,0,"2,3,5,0,1,4","2,5,4,3,0,1",True,True,True,277.9226000420749
7,blind_v6_007_r0_line_n8_phase_shift_f6_cx48,line,phase_shift,8,48,adaptive_mapping/v1_best/k2,0,20,59,135.54909965023398,28,88,lightsabre,20,59,20,65,5,lightsabre,lightsabre:seed0,20,59,0,0,"1,3,5,6,7,2,0,4","0,2,1,3,4,5,6,7",True,True,True,651.3010999187827
8,blind_v6_008_r0_line_n10_phase_shift_f12_cx120,line,phase_shift,10,120,adaptive_mapping/v1_best/k2,17,95,229,275.40929976385087,109,263,lightsabre,95,229,100,230,5,lightsabre,lightsabre:seed17,95,229,0,0,"8,4,6,1,0,9,3,7,2,5","9,8,6,7,5,4,3,2,1,0",True,True,True,15933.218299993314
9,blind_v6_009_r0_line_n8_alternating_f3_cx24,line,alternating,8,24,adaptive_mapping/v1_best/k2,12,13,32,127.33149994164705,13,30,independent_rollout,13,30,13,32,10,independent_rollout,independent_rollout:early,13,30,0,0,"6,4,7,0,1,2,3,5","7,3,5,2,0,1,4,6",True,True,True,613.0892999935895
