group_field,group_value,cases,lightsabre_swap,selected_swap,gain,relative_gain_pct,swap_wins,swap_ties,swap_losses,mean_normalized_gap
topology,grid,30,524,515,9,1.717557251908397,7,23,0,-0.005601851851851852
topology,line,30,1321,1270,51,3.8607115821347464,16,14,0,-0.030949074074074077
topology,random,30,461,447,14,3.036876355748373,10,20,0,-0.009212962962962961
topology,ring,30,870,819,51,5.862068965517241,17,13,0,-0.02914351851851852
circuit_mode,alternating,24,620,594,26,4.193548387096774,12,12,0,-0.022251157407407407
circuit_mode,far,24,450,429,21,4.666666666666667,10,14,0,-0.014467592592592593
circuit_mode,parallel_layers,24,847,828,19,2.243211334120425,6,18,0,-0.01148726851851852
circuit_mode,phase_shift,24,486,471,15,3.0864197530864197,9,15,0,-0.010532407407407407
circuit_mode,uniform,24,773,729,44,5.692108667529108,13,11,0,-0.034895833333333334
num_qubits,10,40,1562,1531,31,1.9846350832266326,13,27,0,-0.012083333333333333
num_qubits,6,40,489,433,56,11.451942740286299,21,19,0,-0.02638888888888889
num_qubits,8,40,1125,1087,38,3.3777777777777778,16,24,0,-0.017708333333333333
length_factor,12,40,1926,1850,76,3.9460020768431985,23,17,0,-0.022361111111111113
length_factor,3,40,392,378,14,3.5714285714285716,9,31,0,-0.01388888888888889
length_factor,6,40,858,823,35,4.0792540792540795,18,22,0,-0.019930555555555556
