repeat,frozen_manifest_sha256,case_index,instance,num_logical_qubits,num_physical_qubits,topology,routing_cx_count,smpr_wall_ms,smpr_peak_rss_bytes,smpr_swap,smpr_depth,smpr_branch,smpr_label,smpr_attempts,internal_lightsabre_swap,internal_lightsabre_depth,internal_lightsabre_budget_ms,independent_rollout_swap,independent_rollout_depth,cross_layout_attempts,variant,routing_trace_valid,topology_valid,safe_quality_floor,budget_multiplier,lightsabre_elapsed_ms,lightsabre_trials,lightsabre_swap,lightsabre_depth,lightsabre_best_seed,lightsabre_peak_rss_bytes,swap_gap_smpr_minus_lightsabre
3,90c4fb2b61206cd92cb72c11564ad252c705e3704a90ee0a8c728f702414901d,0,v7_qasmbench_sat_n11_heavy_hex_d3,11,19,heavy_hex_d3,252,36491.9848999707,103763968,92,663,cross_layout,cross_layout:ls_seed6_neighbor4,26,107,681,361.45310022402555,99,701,5,adaptive_mapping/v1_best/k2,True,True,True,0.25,9133.925899979658,498,105,682,98,76795904,-13
3,90c4fb2b61206cd92cb72c11564ad252c705e3704a90ee0a8c728f702414901d,0,v7_qasmbench_sat_n11_heavy_hex_d3,11,19,heavy_hex_d3,252,36491.9848999707,103763968,92,663,cross_layout,cross_layout:ls_seed6_neighbor4,26,107,681,361.45310022402555,99,701,5,adaptive_mapping/v1_best/k2,True,True,True,0.5,18258.628399926238,988,102,709,833,76795904,-10
3,90c4fb2b61206cd92cb72c11564ad252c705e3704a90ee0a8c728f702414901d,0,v7_qasmbench_sat_n11_heavy_hex_d3,11,19,heavy_hex_d3,252,36491.9848999707,103763968,92,663,cross_layout,cross_layout:ls_seed6_neighbor4,26,107,681,361.45310022402555,99,701,5,adaptive_mapping/v1_best/k2,True,True,True,1.0,36503.37369996123,1989,102,709,833,76795904,-10
3,90c4fb2b61206cd92cb72c11564ad252c705e3704a90ee0a8c728f702414901d,0,v7_qasmbench_sat_n11_heavy_hex_d3,11,19,heavy_hex_d3,252,36491.9848999707,103763968,92,663,cross_layout,cross_layout:ls_seed6_neighbor4,26,107,681,361.45310022402555,99,701,5,adaptive_mapping/v1_best/k2,True,True,True,2.0,73032.26739994716,3654,100,688,3423,76795904,-8
3,90c4fb2b61206cd92cb72c11564ad252c705e3704a90ee0a8c728f702414901d,1,v7_qasmbench_multiply_n13_heavy_hex_d3,13,19,heavy_hex_d3,40,958.4984000539407,54276096,16,73,lightsabre,lightsabre:seed3,26,16,73,227.73850010707974,19,86,5,adaptive_mapping/v1_best/k2,True,True,True,0.25,247.68789997324347,29,16,73,3,52731904,0
3,90c4fb2b61206cd92cb72c11564ad252c705e3704a90ee0a8c728f702414901d,1,v7_qasmbench_multiply_n13_heavy_hex_d3,13,19,heavy_hex_d3,40,958.4984000539407,54276096,16,73,lightsabre,lightsabre:seed3,26,16,73,227.73850010707974,19,86,5,adaptive_mapping/v1_best/k2,True,True,True,0.5,481.2160999281332,56,15,81,49,52731904,1
3,90c4fb2b61206cd92cb72c11564ad252c705e3704a90ee0a8c728f702414901d,1,v7_qasmbench_multiply_n13_heavy_hex_d3,13,19,heavy_hex_d3,40,958.4984000539407,54276096,16,73,lightsabre,lightsabre:seed3,26,16,73,227.73850010707974,19,86,5,adaptive_mapping/v1_best/k2,True,True,True,1.0,959.0805999469012,107,14,73,63,52731904,2
3,90c4fb2b61206cd92cb72c11564ad252c705e3704a90ee0a8c728f702414901d,1,v7_qasmbench_multiply_n13_heavy_hex_d3,13,19,heavy_hex_d3,40,958.4984000539407,54276096,16,73,lightsabre,lightsabre:seed3,26,16,73,227.73850010707974,19,86,5,adaptive_mapping/v1_best/k2,True,True,True,2.0,1920.9899000125006,216,14,73,63,52731904,2
3,90c4fb2b61206cd92cb72c11564ad252c705e3704a90ee0a8c728f702414901d,2,v7_qasmbench_bv_n14_heavy_hex_d3,14,19,heavy_hex_d3,13,438.45959997270256,52875264,8,39,lightsabre,lightsabre:seed19,26,8,39,164.1983004519716,17,46,5,adaptive_mapping/v1_best/k2,True,True,True,0.25,147.00009999796748,20,8,39,19,53260288,0
3,90c4fb2b61206cd92cb72c11564ad252c705e3704a90ee0a8c728f702414901d,2,v7_qasmbench_bv_n14_heavy_hex_d3,14,19,heavy_hex_d3,13,438.45959997270256,52875264,8,39,lightsabre,lightsabre:seed19,26,8,39,164.1983004519716,17,46,5,adaptive_mapping/v1_best/k2,True,True,True,0.5,223.06769993156195,29,8,39,19,53260288,0
3,90c4fb2b61206cd92cb72c11564ad252c705e3704a90ee0a8c728f702414901d,2,v7_qasmbench_bv_n14_heavy_hex_d3,14,19,heavy_hex_d3,13,438.45959997270256,52875264,8,39,lightsabre,lightsabre:seed19,26,8,39,164.1983004519716,17,46,5,adaptive_mapping/v1_best/k2,True,True,True,1.0,438.7568000238389,56,8,39,19,53260288,0
3,90c4fb2b61206cd92cb72c11564ad252c705e3704a90ee0a8c728f702414901d,2,v7_qasmbench_bv_n14_heavy_hex_d3,14,19,heavy_hex_d3,13,438.45959997270256,52875264,8,39,lightsabre,lightsabre:seed19,26,8,39,164.1983004519716,17,46,5,adaptive_mapping/v1_best/k2,True,True,True,2.0,887.5705000245944,90,8,39,19,53260288,0
3,90c4fb2b61206cd92cb72c11564ad252c705e3704a90ee0a8c728f702414901d,3,v7_qasmbench_multiplier_n15_heavy_hex_d3,15,19,heavy_hex_d3,246,57149.02839995921,83283968,92,466,cross_layout,cross_layout:ls_seed19,26,96,486,543.7753999140114,100,501,5,adaptive_mapping/v1_best/k2,True,True,True,0.25,14302.51330009196,395,92,456,248,62529536,0
3,90c4fb2b61206cd92cb72c11564ad252c705e3704a90ee0a8c728f702414901d,3,v7_qasmbench_multiplier_n15_heavy_hex_d3,15,19,heavy_hex_d3,246,57149.02839995921,83283968,92,466,cross_layout,cross_layout:ls_seed19,26,96,486,543.7753999140114,100,501,5,adaptive_mapping/v1_best/k2,True,True,True,0.5,28593.815900036134,896,91,497,894,62529536,1
3,90c4fb2b61206cd92cb72c11564ad252c705e3704a90ee0a8c728f702414901d,3,v7_qasmbench_multiplier_n15_heavy_hex_d3,15,19,heavy_hex_d3,246,57149.02839995921,83283968,92,466,cross_layout,cross_layout:ls_seed19,26,96,486,543.7753999140114,100,501,5,adaptive_mapping/v1_best/k2,True,True,True,1.0,57166.051500011235,1817,90,497,1251,62529536,2
3,90c4fb2b61206cd92cb72c11564ad252c705e3704a90ee0a8c728f702414901d,3,v7_qasmbench_multiplier_n15_heavy_hex_d3,15,19,heavy_hex_d3,246,57149.02839995921,83283968,92,466,cross_layout,cross_layout:ls_seed19,26,96,486,543.7753999140114,100,501,5,adaptive_mapping/v1_best/k2,True,True,True,2.0,114316.73449999653,3623,90,460,2981,62529536,2
3,90c4fb2b61206cd92cb72c11564ad252c705e3704a90ee0a8c728f702414901d,4,v7_qasmbench_dnn_n16_heavy_hex_d3,16,19,heavy_hex_d3,384,2967.7092999918386,56688640,0,172,lightsabre,lightsabre:seed1,31,0,172,272.5987003650516,0,172,10,adaptive_mapping/v1_best/k2,True,True,True,0.25,741.965200053528,54,0,172,1,56983552,0
3,90c4fb2b61206cd92cb72c11564ad252c705e3704a90ee0a8c728f702414901d,4,v7_qasmbench_dnn_n16_heavy_hex_d3,16,19,heavy_hex_d3,384,2967.7092999918386,56688640,0,172,lightsabre,lightsabre:seed1,31,0,172,272.5987003650516,0,172,10,adaptive_mapping/v1_best/k2,True,True,True,0.5,1496.9070999650285,109,0,172,1,56983552,0
3,90c4fb2b61206cd92cb72c11564ad252c705e3704a90ee0a8c728f702414901d,4,v7_qasmbench_dnn_n16_heavy_hex_d3,16,19,heavy_hex_d3,384,2967.7092999918386,56688640,0,172,lightsabre,lightsabre:seed1,31,0,172,272.5987003650516,0,172,10,adaptive_mapping/v1_best/k2,True,True,True,1.0,2969.9854999780655,212,0,172,1,56983552,0
3,90c4fb2b61206cd92cb72c11564ad252c705e3704a90ee0a8c728f702414901d,4,v7_qasmbench_dnn_n16_heavy_hex_d3,16,19,heavy_hex_d3,384,2967.7092999918386,56688640,0,172,lightsabre,lightsabre:seed1,31,0,172,272.5987003650516,0,172,10,adaptive_mapping/v1_best/k2,True,True,True,2.0,5944.759099977091,426,0,172,1,56983552,0
3,90c4fb2b61206cd92cb72c11564ad252c705e3704a90ee0a8c728f702414901d,5,v7_qasmbench_bigadder_n18_heavy_hex_d3,18,19,heavy_hex_d3,130,5909.360899939202,58093568,36,241,independent_rollout,native:early,26,42,267,276.3287003617734,36,241,5,adaptive_mapping/v1_best/k2,True,True,True,0.25,1482.6344000175595,100,37,260,85,56201216,-1
3,90c4fb2b61206cd92cb72c11564ad252c705e3704a90ee0a8c728f702414901d,5,v7_qasmbench_bigadder_n18_heavy_hex_d3,18,19,heavy_hex_d3,130,5909.360899939202,58093568,36,241,independent_rollout,native:early,26,42,267,276.3287003617734,36,241,5,adaptive_mapping/v1_best/k2,True,True,True,0.5,2958.2969000330195,205,37,260,85,56201216,-1
3,90c4fb2b61206cd92cb72c11564ad252c705e3704a90ee0a8c728f702414901d,5,v7_qasmbench_bigadder_n18_heavy_hex_d3,18,19,heavy_hex_d3,130,5909.360899939202,58093568,36,241,independent_rollout,native:early,26,42,267,276.3287003617734,36,241,5,adaptive_mapping/v1_best/k2,True,True,True,1.0,5919.579099980183,417,37,260,85,56201216,-1
3,90c4fb2b61206cd92cb72c11564ad252c705e3704a90ee0a8c728f702414901d,5,v7_qasmbench_bigadder_n18_heavy_hex_d3,18,19,heavy_hex_d3,130,5909.360899939202,58093568,36,241,independent_rollout,native:early,26,42,267,276.3287003617734,36,241,5,adaptive_mapping/v1_best/k2,True,True,True,2.0,11830.342200002633,845,37,260,85,56201216,-1
3,90c4fb2b61206cd92cb72c11564ad252c705e3704a90ee0a8c728f702414901d,6,v7_qasmbench_bv_n19_heavy_hex_d3,19,19,heavy_hex_d3,18,847.3965999437496,54321152,14,64,lightsabre,lightsabre:seed12,26,14,64,151.47780033294111,41,79,5,adaptive_mapping/v1_best/k2,True,True,True,0.25,215.20780003629625,28,14,64,12,54337536,0
3,90c4fb2b61206cd92cb72c11564ad252c705e3704a90ee0a8c728f702414901d,6,v7_qasmbench_bv_n19_heavy_hex_d3,19,19,heavy_hex_d3,18,847.3965999437496,54321152,14,64,lightsabre,lightsabre:seed12,26,14,64,151.47780033294111,41,79,5,adaptive_mapping/v1_best/k2,True,True,True,0.5,429.1076000081375,59,14,64,12,54337536,0
