excluded_field,excluded_value,remaining_cases,gain,relative_gain_pct,mean_normalized_gap,swap_wins,swap_ties,swap_losses
topology,grid,90,116,4.374057315233785,-0.023101851851851853,43,47,0
topology,line,90,74,3.98921832884097,-0.014652777777777777,34,56,0
topology,random,90,111,4.088397790055248,-0.021898148148148146,40,50,0
topology,ring,90,74,3.209019947961839,-0.015254629629629628,33,57,0
circuit_mode,alternating,96,99,3.8732394366197185,-0.017845775462962964,38,58,0
circuit_mode,far,96,104,3.815113719735877,-0.019791666666666666,40,56,0
circuit_mode,parallel_layers,96,106,4.55130957492486,-0.020536747685185184,44,52,0
circuit_mode,phase_shift,96,110,4.089219330855019,-0.020775462962962964,41,55,0
circuit_mode,uniform,96,81,3.3707865168539324,-0.01468460648148148,37,59,0
length_factor,12,80,49,3.92,-0.016909722222222222,27,53,0
length_factor,3,80,111,3.9870689655172415,-0.021145833333333332,41,39,0
length_factor,6,80,90,3.882657463330457,-0.018125,32,48,0
