case_index,instance,topology,circuit_mode,num_qubits,cx_count,oaabr_variant,lightsabre_seed,lightsabre_swap,lightsabre_depth,lightsabre_budget_ms,oaabr_swap,oaabr_depth,safe_dual_backend,safe_dual_swap,safe_dual_depth,hybrid_swap,hybrid_depth,hybrid_attempts,selected_backend,selected_label,selected_swap,selected_depth,gain_vs_lightsabre,gain_vs_safe_dual,initial_mapping,final_mapping,semantic_equivalent,topology_valid,metric_valid,wall_ms,qasm,qpy,manifest
0,test_v5_000_line_n6_uniform_f3_cx18,line,uniform,6,18,stage26/v1_best/k2,11,9,24,95.71490017697215,9,24,lightsabre,9,24,9,24,10,lightsabre,lightsabre:seed11,9,24,0,0,"5,3,2,0,1,4","4,3,5,1,0,2",True,True,True,391.69670001138,C:\Users\carte\smpr-stage63\source\SMPR_quantum_router_stage63\results\stage63_v5_full_20260725\shards\shard_00\000_test_v5_000_line_n6_uniform_f3_cx18\selected_physical.qasm,C:\Users\carte\smpr-stage63\source\SMPR_quantum_router_stage63\results\stage63_v5_full_20260725\shards\shard_00\000_test_v5_000_line_n6_uniform_f3_cx18\selected_physical.qpy,C:\Users\carte\smpr-stage63\source\SMPR_quantum_router_stage63\results\stage63_v5_full_20260725\shards\shard_00\000_test_v5_000_line_n6_uniform_f3_cx18\manifest.json
1,test_v5_001_line_n8_uniform_f6_cx48,line,uniform,8,48,stage26/v1_best/k2,13,46,99,150.51890001632273,54,146,lightsabre,46,99,44,107,10,hybrid,hybrid:ls_seed13,44,107,2,2,"0,1,2,6,5,4,7,3","3,4,1,0,2,7,5,6",True,True,True,5978.391599957831,C:\Users\carte\smpr-stage63\source\SMPR_quantum_router_stage63\results\stage63_v5_full_20260725\shards\shard_00\001_test_v5_001_line_n8_uniform_f6_cx48\selected_physical.qasm,,C:\Users\carte\smpr-stage63\source\SMPR_quantum_router_stage63\results\stage63_v5_full_20260725\shards\shard_00\001_test_v5_001_line_n8_uniform_f6_cx48\manifest.json
2,test_v5_002_line_n10_uniform_f12_cx120,line,uniform,10,120,stage26/v1_best/k2,12,149,293,676.2470002286136,162,335,lightsabre,149,293,150,307,5,lightsabre,lightsabre:seed12,149,293,0,0,"2,4,8,5,9,7,1,3,6,0","8,3,0,5,2,1,4,9,6,7",True,True,True,27330.44469996821,C:\Users\carte\smpr-stage63\source\SMPR_quantum_router_stage63\results\stage63_v5_full_20260725\shards\shard_00\002_test_v5_002_line_n10_uniform_f12_cx120\selected_physical.qasm,C:\Users\carte\smpr-stage63\source\SMPR_quantum_router_stage63\results\stage63_v5_full_20260725\shards\shard_00\002_test_v5_002_line_n10_uniform_f12_cx120\selected_physical.qpy,C:\Users\carte\smpr-stage63\source\SMPR_quantum_router_stage63\results\stage63_v5_full_20260725\shards\shard_00\002_test_v5_002_line_n10_uniform_f12_cx120\manifest.json
3,test_v5_003_line_n8_far_f3_cx24,line,far,8,24,stage26/v1_best/k2,7,9,34,101.20979999192059,12,37,lightsabre,9,34,10,34,20,lightsabre,lightsabre:seed7,9,34,0,0,"4,2,5,6,7,1,0,3","3,1,5,6,7,0,2,4",True,True,True,496.08339997939765,C:\Users\carte\smpr-stage63\source\SMPR_quantum_router_stage63\results\stage63_v5_full_20260725\shards\shard_00\003_test_v5_003_line_n8_far_f3_cx24\selected_physical.qasm,C:\Users\carte\smpr-stage63\source\SMPR_quantum_router_stage63\results\stage63_v5_full_20260725\shards\shard_00\003_test_v5_003_line_n8_far_f3_cx24\selected_physical.qpy,C:\Users\carte\smpr-stage63\source\SMPR_quantum_router_stage63\results\stage63_v5_full_20260725\shards\shard_00\003_test_v5_003_line_n8_far_f3_cx24\manifest.json
4,test_v5_004_line_n10_far_f6_cx60,line,far,10,60,stage26/v1_best/k2,0,53,115,174.02250005397946,53,102,oaabr,53,102,50,124,5,hybrid,hybrid:ls_seed0,50,124,3,3,"1,6,8,9,3,0,2,7,5,4","2,5,7,3,0,1,9,8,6,4",True,True,True,2465.257899952121,C:\Users\carte\smpr-stage63\source\SMPR_quantum_router_stage63\results\stage63_v5_full_20260725\shards\shard_00\004_test_v5_004_line_n10_far_f6_cx60\selected_physical.qasm,,C:\Users\carte\smpr-stage63\source\SMPR_quantum_router_stage63\results\stage63_v5_full_20260725\shards\shard_00\004_test_v5_004_line_n10_far_f6_cx60\manifest.json
5,test_v5_005_line_n6_far_f12_cx72,line,far,6,72,stage26/v1_best/k2,2,19,105,128.74170020222664,17,92,oaabr,17,92,18,95,20,oaabr,native:late,17,92,2,0,"4,1,3,5,0,2","4,1,2,5,0,3",True,True,True,1655.0835999660194,C:\Users\carte\smpr-stage63\source\SMPR_quantum_router_stage63\results\stage63_v5_full_20260725\shards\shard_00\005_test_v5_005_line_n6_far_f12_cx72\selected_physical.qasm,,C:\Users\carte\smpr-stage63\source\SMPR_quantum_router_stage63\results\stage63_v5_full_20260725\shards\shard_00\005_test_v5_005_line_n6_far_f12_cx72\manifest.json
6,test_v5_006_line_n10_phase_shift_f3_cx30,line,phase_shift,10,30,stage26/v1_best/k2,7,20,50,132.30889989063144,24,50,lightsabre,20,50,19,49,10,hybrid,hybrid:ls_seed1,19,49,1,1,"7,6,2,4,0,1,8,9,3,5","9,8,4,3,2,0,1,6,5,7",True,True,True,776.318300049752,C:\Users\carte\smpr-stage63\source\SMPR_quantum_router_stage63\results\stage63_v5_full_20260725\shards\shard_00\006_test_v5_006_line_n10_phase_shift_f3_cx30\selected_physical.qasm,,C:\Users\carte\smpr-stage63\source\SMPR_quantum_router_stage63\results\stage63_v5_full_20260725\shards\shard_00\006_test_v5_006_line_n10_phase_shift_f3_cx30\manifest.json
7,test_v5_007_line_n6_phase_shift_f6_cx36,line,phase_shift,6,36,stage26/v1_best/k2,14,14,54,96.41020034905523,10,55,oaabr,10,55,10,46,5,hybrid,hybrid:ls_seed14,10,46,4,0,"3,1,5,0,2,4","5,4,3,2,1,0",True,True,True,265.30209998600185,C:\Users\carte\smpr-stage63\source\SMPR_quantum_router_stage63\results\stage63_v5_full_20260725\shards\shard_00\007_test_v5_007_line_n6_phase_shift_f6_cx36\selected_physical.qasm,,C:\Users\carte\smpr-stage63\source\SMPR_quantum_router_stage63\results\stage63_v5_full_20260725\shards\shard_00\007_test_v5_007_line_n6_phase_shift_f6_cx36\manifest.json
8,test_v5_008_line_n8_phase_shift_f12_cx96,line,phase_shift,8,96,stage26/v1_best/k2,4,47,161,179.68000017572194,55,162,lightsabre,47,161,51,154,10,lightsabre,lightsabre:seed4,47,161,0,0,"0,4,2,6,7,5,1,3","1,0,2,3,4,6,7,5",True,True,True,10373.83850000333,C:\Users\carte\smpr-stage63\source\SMPR_quantum_router_stage63\results\stage63_v5_full_20260725\shards\shard_00\008_test_v5_008_line_n8_phase_shift_f12_cx96\selected_physical.qasm,C:\Users\carte\smpr-stage63\source\SMPR_quantum_router_stage63\results\stage63_v5_full_20260725\shards\shard_00\008_test_v5_008_line_n8_phase_shift_f12_cx96\selected_physical.qpy,C:\Users\carte\smpr-stage63\source\SMPR_quantum_router_stage63\results\stage63_v5_full_20260725\shards\shard_00\008_test_v5_008_line_n8_phase_shift_f12_cx96\manifest.json
9,test_v5_009_line_n6_alternating_f3_cx18,line,alternating,6,18,stage26/v1_best/k2,11,10,35,101.68149974197149,10,33,oaabr,10,33,10,33,10,hybrid,hybrid:ls_seed11,10,33,0,0,"5,3,1,0,4,2","5,2,1,0,3,4",True,True,True,416.23420000541955,C:\Users\carte\smpr-stage63\source\SMPR_quantum_router_stage63\results\stage63_v5_full_20260725\shards\shard_01\009_test_v5_009_line_n6_alternating_f3_cx18\selected_physical.qasm,,C:\Users\carte\smpr-stage63\source\SMPR_quantum_router_stage63\results\stage63_v5_full_20260725\shards\shard_01\009_test_v5_009_line_n6_alternating_f3_cx18\manifest.json
