case,v5,multi,merged,improved
test_v5_000_line_n6_uniform_f3_cx18,9,9,9,False
test_v5_001_line_n8_uniform_f6_cx48,44,44,44,False
test_v5_002_line_n10_uniform_f12_cx120,149,150,149,False
test_v5_003_line_n8_far_f3_cx24,9,9,9,False
test_v5_004_line_n10_far_f6_cx60,50,49,49,True
test_v5_005_line_n6_far_f12_cx72,17,17,17,False
test_v5_006_line_n10_phase_shift_f3_cx30,19,17,17,True
test_v5_007_line_n6_phase_shift_f6_cx36,10,10,10,False
test_v5_008_line_n8_phase_shift_f12_cx96,47,43,43,True
test_v5_009_line_n6_alternating_f3_cx18,10,10,10,False
test_v5_010_line_n8_alternating_f6_cx48,42,42,42,False
test_v5_011_line_n10_alternating_f12_cx120,139,127,127,True
test_v5_012_line_n8_parallel_layers_f3_cx24,21,21,21,False
test_v5_013_line_n10_parallel_layers_f6_cx60,55,53,53,True
test_v5_014_line_n6_parallel_layers_f12_cx72,50,47,47,True
test_v5_015_ring_n6_uniform_f3_cx18,6,6,6,False
test_v5_016_ring_n8_uniform_f6_cx48,35,33,33,True
test_v5_017_ring_n10_uniform_f12_cx120,115,108,108,True
test_v5_018_ring_n8_far_f3_cx24,8,8,8,False
test_v5_019_ring_n10_far_f6_cx60,29,29,29,False
test_v5_020_ring_n6_far_f12_cx72,0,0,0,False
test_v5_021_ring_n10_phase_shift_f3_cx30,18,17,17,True
test_v5_022_ring_n6_phase_shift_f6_cx36,3,3,3,False
test_v5_023_ring_n8_phase_shift_f12_cx96,30,30,30,False
test_v5_024_ring_n6_alternating_f3_cx18,9,9,9,False
test_v5_025_ring_n8_alternating_f6_cx48,22,22,22,False
test_v5_026_ring_n10_alternating_f12_cx120,100,99,99,True
test_v5_027_ring_n8_parallel_layers_f3_cx24,11,11,11,False
test_v5_028_ring_n10_parallel_layers_f6_cx60,47,45,45,True
test_v5_029_ring_n6_parallel_layers_f12_cx72,29,29,29,False
test_v5_030_grid_n6_uniform_f3_cx18,2,2,2,False
test_v5_031_grid_n8_uniform_f6_cx48,12,12,12,False
test_v5_032_grid_n10_uniform_f12_cx120,68,61,61,True
test_v5_033_grid_n8_far_f3_cx24,2,2,2,False
test_v5_034_grid_n10_far_f6_cx60,17,14,14,True
test_v5_035_grid_n6_far_f12_cx72,5,5,5,False
test_v5_036_grid_n10_phase_shift_f3_cx30,8,10,8,False
test_v5_037_grid_n6_phase_shift_f6_cx36,3,3,3,False
test_v5_038_grid_n8_phase_shift_f12_cx96,19,15,15,True
test_v5_039_grid_n6_alternating_f3_cx18,5,5,5,False
test_v5_040_grid_n8_alternating_f6_cx48,19,16,16,True
test_v5_041_grid_n10_alternating_f12_cx120,58,60,58,False
test_v5_042_grid_n8_parallel_layers_f3_cx24,6,5,5,True
test_v5_043_grid_n10_parallel_layers_f6_cx60,27,26,26,True
test_v5_044_grid_n6_parallel_layers_f12_cx72,17,14,14,True
test_v5_045_random_n6_uniform_f3_cx18,4,4,4,False
test_v5_046_random_n8_uniform_f6_cx48,22,19,19,True
test_v5_047_random_n10_uniform_f12_cx120,60,53,53,True
test_v5_048_random_n8_far_f3_cx24,3,3,3,False
test_v5_049_random_n10_far_f6_cx60,10,10,10,False
test_v5_050_random_n6_far_f12_cx72,0,0,0,False
test_v5_051_random_n10_phase_shift_f3_cx30,6,6,6,False
test_v5_052_random_n6_phase_shift_f6_cx36,1,1,1,False
test_v5_053_random_n8_phase_shift_f12_cx96,12,9,9,True
test_v5_054_random_n6_alternating_f3_cx18,2,2,2,False
test_v5_055_random_n8_alternating_f6_cx48,13,13,13,False
test_v5_056_random_n10_alternating_f12_cx120,57,52,52,True
test_v5_057_random_n8_parallel_layers_f3_cx24,8,7,7,True
test_v5_058_random_n10_parallel_layers_f6_cx60,25,22,22,True
test_v5_059_random_n6_parallel_layers_f12_cx72,17,16,16,True
