case,baseline,best_new,gain,improved,mapping
test_v5_001_line_n8_uniform_f6_cx48,44,44,0,False,"0,1,2,6,5,4,7,3"
test_v5_002_line_n10_uniform_f12_cx120,149,149,0,False,"1,3,5,4,9,7,0,2,6,8"
test_v5_003_line_n8_far_f3_cx24,9,9,0,False,"2,4,1,0,7,5,6,3"
test_v5_004_line_n10_far_f6_cx60,49,50,0,False,"6,4,8,9,0,2,7,5,3,1"
test_v5_006_line_n10_phase_shift_f3_cx30,17,20,0,False,"2,3,8,6,9,4,1,0,7,5"
test_v5_008_line_n8_phase_shift_f12_cx96,43,44,0,False,"6,2,4,0,7,1,5,3"
test_v5_010_line_n8_alternating_f6_cx48,42,42,0,False,"2,4,5,0,7,6,1,3"
test_v5_011_line_n10_alternating_f12_cx120,127,127,0,False,"1,3,5,6,0,7,9,2,4,8"
test_v5_012_line_n8_parallel_layers_f3_cx24,21,21,0,False,"4,2,3,0,1,6,5,7"
test_v5_013_line_n10_parallel_layers_f6_cx60,53,53,0,False,"0,9,8,5,7,4,3,6,2,1"
test_v5_016_ring_n8_uniform_f6_cx48,33,32,1,True,"2,1,5,0,7,4,6,3"
test_v5_017_ring_n10_uniform_f12_cx120,108,109,0,False,"6,9,1,0,3,2,4,5,7,8"
test_v5_018_ring_n8_far_f3_cx24,8,8,0,False,"4,2,0,5,6,3,1,7"
test_v5_019_ring_n10_far_f6_cx60,29,29,0,False,"9,1,4,3,8,7,0,2,5,6"
test_v5_021_ring_n10_phase_shift_f3_cx30,17,17,0,False,"8,5,3,2,0,7,6,4,1,9"
test_v5_023_ring_n8_phase_shift_f12_cx96,30,30,0,False,"4,3,0,6,5,1,2,7"
test_v5_025_ring_n8_alternating_f6_cx48,22,22,0,False,"3,6,4,1,0,7,5,2"
test_v5_026_ring_n10_alternating_f12_cx120,99,99,0,False,"0,7,3,5,1,9,8,6,4,2"
test_v5_027_ring_n8_parallel_layers_f3_cx24,11,11,0,False,"2,1,0,3,4,7,5,6"
test_v5_028_ring_n10_parallel_layers_f6_cx60,45,45,0,False,"0,3,2,9,5,6,4,7,8,1"
test_v5_031_grid_n8_uniform_f6_cx48,12,12,0,False,"3,1,5,4,0,7,2,6"
test_v5_032_grid_n10_uniform_f12_cx120,61,63,0,False,"4,2,6,1,9,5,7,8,0,3"
test_v5_033_grid_n8_far_f3_cx24,2,2,0,False,"6,3,4,5,0,2,7,1"
test_v5_034_grid_n10_far_f6_cx60,14,14,0,False,"7,9,5,4,2,3,0,1,8,6"
test_v5_036_grid_n10_phase_shift_f3_cx30,8,11,0,False,"9,1,0,5,8,4,6,7,2,3"
test_v5_038_grid_n8_phase_shift_f12_cx96,15,15,0,False,"1,5,4,7,6,3,0,2"
test_v5_040_grid_n8_alternating_f6_cx48,17,17,0,False,"6,4,3,2,5,1,7,0"
test_v5_041_grid_n10_alternating_f12_cx120,58,57,1,True,"7,8,3,0,1,5,6,4,9,2"
test_v5_042_grid_n8_parallel_layers_f3_cx24,5,5,0,False,"6,4,2,0,3,5,1,7"
test_v5_043_grid_n10_parallel_layers_f6_cx60,26,26,0,False,"0,6,1,9,2,5,8,7,3,4"
test_v5_046_random_n8_uniform_f6_cx48,19,18,1,True,"3,1,0,5,6,2,4,7"
test_v5_047_random_n10_uniform_f12_cx120,57,56,1,True,"7,8,9,5,1,2,4,6,0,3"
test_v5_048_random_n8_far_f3_cx24,3,3,0,False,"0,3,4,7,5,1,2,6"
test_v5_049_random_n10_far_f6_cx60,10,10,0,False,"5,1,2,3,6,7,9,0,4,8"
test_v5_051_random_n10_phase_shift_f3_cx30,6,7,0,False,"3,2,1,8,5,7,6,0,9,4"
test_v5_053_random_n8_phase_shift_f12_cx96,12,12,0,False,"7,0,2,4,1,5,6,3"
test_v5_055_random_n8_alternating_f6_cx48,13,13,0,False,"4,2,7,5,6,0,1,3"
test_v5_056_random_n10_alternating_f12_cx120,52,53,0,False,"7,9,0,8,6,1,2,4,3,5"
test_v5_057_random_n8_parallel_layers_f3_cx24,7,7,0,False,"1,2,7,5,4,0,6,3"
test_v5_058_random_n10_parallel_layers_f6_cx60,22,22,0,False,"3,0,7,6,8,9,5,1,2,4"
