case,type,num_logical,cx,ls_best_swap,v14_on_lsbest,v14_min_over_layouts,iso_gain,pool_gain,v7_smpr_swap,v7_internal_ls,win_iso,win_pool
v7_qasmbench_qft_n18_heavy_hex_d3,qft,18,306,134,136,134,-2,0,-1,134,False,False
v7_qasmbench_swap_test_n25_heavy_hex_d5,swap,25,96,38,38,38,0,0,-1,38,False,False
v7_qasmbench_knn_n25_heavy_hex_d5,knn,25,96,38,38,38,0,0,-1,38,False,False
v7_qasmbench_ising_n26_heavy_hex_d5,ising,26,50,14,14,14,0,0,-1,14,False,False
v7_qasmbench_wstate_n27_heavy_hex_d5,wstate,27,52,24,23,23,1,1,-1,24,True,True
v7_qasmbench_adder_n28_heavy_hex_d5,adder,28,195,77,73,73,4,4,-1,77,True,True
v7_qasmbench_bv_n30_heavy_hex_d5,bv,30,18,19,19,19,0,0,-1,19,False,False
v7_qasmbench_cat_n35_heavy_hex_d5,cat,35,34,53,52,47,1,6,-1,53,True,True
v7_qasmbench_ghz_n40_heavy_hex_d5,ghz,40,39,64,50,50,14,14,-1,64,True,True
v7_qasmbench_ising_n34_heavy_hex_d5,ising,34,66,20,21,21,-1,-1,-1,20,False,False
v7_qasmbench_knn_n31_heavy_hex_d5,knn,31,120,58,57,57,1,1,-1,58,True,True
v7_qasmbench_qugan_n39_heavy_hex_d5,qugan,39,296,127,113,113,14,14,-1,127,True,True
v7_qasmbench_swap_test_n41_heavy_hex_d5,swap,41,160,87,84,81,3,6,-1,87,True,True
v7_qasmbench_wstate_n36_heavy_hex_d5,wstate,36,70,48,48,43,0,5,-1,48,False,True
v7_qasmbench_adder_n10_heavy_hex_d3,adder,10,65,16,17,17,-1,-1,-1,16,False,False
v7_qasmbench_ising_n10_heavy_hex_d3,ising,10,90,0,0,0,0,0,-1,0,False,False
v7_qasmbench_hhl_n7_heavy_hex_d3,hhl,7,196,34,33,32,1,2,-1,34,True,True
