id,name,potential_mode,candidate_mode,search_mode,beta,undo,decay
0,p000,ordered_lin,multigeodesic,one_step,0.25,0.0,0.5
1,p001,ordered_lin,multigeodesic,terminal_two_step,0.25,2.5,0.3
2,p002,ordered_lin,ordered_frontier,one_step,0.25,0.0,0.3
3,p003,ordered_lin,ordered_frontier,terminal_two_step,4.0,2.5,0.3
4,p004,ordered_lin,current,one_step,0.25,0.0,0.3
5,p005,ordered_lin,current,terminal_two_step,4.0,2.5,0.7
6,p006,ordered_sq,multigeodesic,one_step,0.25,2.5,0.3
7,p007,ordered_sq,multigeodesic,terminal_two_step,1.0,0.0,0.3
8,p008,ordered_sq,ordered_frontier,one_step,1.0,2.5,0.7
9,p009,ordered_sq,ordered_frontier,terminal_two_step,0.5,2.5,0.5
10,p010,ordered_sq,current,one_step,0.25,0.0,0.7
11,p011,ordered_sq,current,terminal_two_step,2.0,2.5,0.3
12,p012,ordered_lin,multigeodesic,one_step,0.5,0.0,0.7
13,p013,ordered_lin,multigeodesic,one_step,0.25,0.0,0.7
14,p014,ordered_sq,ordered_frontier,one_step,0.25,0.0,0.5
15,p015,ordered_lin,ordered_frontier,one_step,2.0,0.0,0.7
16,p016,ordered_sq,ordered_frontier,terminal_two_step,2.0,2.5,0.3
17,p017,ordered_lin,ordered_frontier,terminal_two_step,0.25,0.0,0.5
18,p018,ordered_lin,ordered_frontier,terminal_two_step,1.0,0.0,0.5
19,p019,ordered_lin,current,terminal_two_step,1.0,2.5,0.7
20,p020,ordered_sq,multigeodesic,one_step,0.25,0.0,0.7
21,p021,ordered_lin,current,terminal_two_step,2.0,0.0,0.7
22,p022,ordered_sq,multigeodesic,one_step,2.0,0.0,0.5
23,p023,ordered_lin,current,terminal_two_step,8.0,0.0,0.1
24,p024,ordered_sq,ordered_frontier,one_step,8.0,5.0,0.1
25,p025,ordered_lin,current,one_step,0.5,0.0,0.3
26,p026,ordered_sq,ordered_frontier,terminal_two_step,12.0,0.0,0.9
27,p027,ordered_lin,current,one_step,1.0,2.5,0.5
28,p028,ordered_sq,current,one_step,1.0,0.0,0.5
29,p029,ordered_sq,multigeodesic,terminal_two_step,2.0,0.0,0.5
30,p030,ordered_sq,multigeodesic,one_step,1.0,2.5,0.7
31,p031,ordered_sq,multigeodesic,terminal_two_step,0.5,2.5,0.7
32,p032,ordered_sq,multigeodesic,one_step,4.0,2.5,0.7
33,p033,ordered_sq,current,one_step,2.0,0.0,0.3
34,p034,ordered_sq,ordered_frontier,one_step,4.0,2.5,0.5
35,p035,ordered_sq,ordered_frontier,terminal_two_step,1.0,0.0,0.7
36,p036,ordered_lin,current,one_step,1.0,2.5,0.5
37,p037,ordered_sq,multigeodesic,one_step,1.0,2.5,0.3
38,p038,ordered_lin,ordered_frontier,one_step,0.25,0.0,0.7
39,p039,ordered_lin,ordered_frontier,terminal_two_step,4.0,0.0,0.5
40,p040,ordered_sq,current,one_step,0.25,0.0,0.7
41,p041,ordered_sq,current,one_step,12.0,5.0,0.1
42,p042,ordered_lin,current,terminal_two_step,1.0,0.0,0.7
43,p043,ordered_sq,multigeodesic,terminal_two_step,12.0,0.0,0.1
44,p044,ordered_lin,ordered_frontier,terminal_two_step,0.25,0.0,0.5
45,p045,ordered_sq,ordered_frontier,one_step,0.5,0.0,0.7
46,p046,ordered_sq,current,terminal_two_step,0.25,0.0,0.3
47,p047,ordered_lin,current,one_step,1.0,0.0,0.7
48,p048,ordered_sq,ordered_frontier,terminal_two_step,2.0,2.5,0.3
49,p049,ordered_sq,current,terminal_two_step,8.0,5.0,0.9
50,p050,ordered_sq,current,one_step,0.5,0.0,0.7
51,p051,ordered_sq,multigeodesic,one_step,0.5,2.5,0.7
52,p052,ordered_sq,current,terminal_two_step,4.0,2.5,0.5
53,p053,ordered_sq,current,one_step,4.0,2.5,0.7
54,p054,ordered_lin,multigeodesic,terminal_two_step,4.0,0.0,0.5
55,p055,ordered_lin,ordered_frontier,terminal_two_step,4.0,2.5,0.5
56,p056,ordered_sq,current,terminal_two_step,2.0,0.0,0.7
57,p057,ordered_lin,multigeodesic,one_step,1.0,0.0,0.5
58,p058,ordered_sq,current,one_step,0.5,2.5,0.7
59,p059,ordered_lin,multigeodesic,one_step,1.0,2.5,0.5
60,p060,ordered_sq,ordered_frontier,terminal_two_step,0.5,2.5,0.5
61,p061,ordered_sq,current,terminal_two_step,4.0,0.0,0.3
62,p062,ordered_sq,current,terminal_two_step,1.0,2.5,0.5
63,p063,ordered_sq,ordered_frontier,one_step,0.5,0.0,0.5
64,p064,ordered_lin,multigeodesic,one_step,4.0,2.5,0.7
65,p065,ordered_lin,ordered_frontier,terminal_two_step,12.0,5.0,0.1
66,p066,ordered_sq,ordered_frontier,one_step,4.0,2.5,0.7
67,p067,ordered_sq,current,one_step,0.25,0.0,0.3
68,p068,ordered_lin,ordered_frontier,terminal_two_step,8.0,0.0,0.1
69,p069,ordered_sq,ordered_frontier,terminal_two_step,1.0,0.0,0.3
70,p070,ordered_sq,multigeodesic,one_step,0.5,2.5,0.3
71,p071,ordered_sq,multigeodesic,one_step,0.5,0.0,0.5
72,p072,ordered_sq,current,one_step,1.0,0.0,0.7
73,p073,ordered_lin,current,one_step,12.0,0.0,0.1
74,p074,ordered_sq,ordered_frontier,terminal_two_step,4.0,0.0,0.7
75,p075,ordered_sq,ordered_frontier,terminal_two_step,0.25,2.5,0.7
76,p076,ordered_sq,current,one_step,0.5,0.0,0.5
77,p077,ordered_sq,multigeodesic,terminal_two_step,8.0,5.0,0.9
78,p078,ordered_sq,multigeodesic,one_step,4.0,0.0,0.5
79,p079,ordered_lin,ordered_frontier,one_step,2.0,2.5,0.3
80,p080,ordered_sq,multigeodesic,one_step,2.0,0.0,0.5
81,p081,ordered_lin,ordered_frontier,terminal_two_step,8.0,0.0,0.9
82,p082,ordered_lin,multigeodesic,one_step,4.0,2.5,0.3
83,p083,ordered_sq,multigeodesic,terminal_two_step,4.0,2.5,0.3
84,p084,ordered_sq,current,terminal_two_step,4.0,0.0,0.7
85,p085,ordered_lin,ordered_frontier,one_step,4.0,2.5,0.7
86,p086,ordered_lin,current,one_step,1.0,0.0,0.7
87,p087,ordered_lin,current,terminal_two_step,4.0,2.5,0.5
88,p088,ordered_sq,current,one_step,4.0,0.0,0.3
89,p089,ordered_sq,current,one_step,0.25,2.5,0.7
90,p090,ordered_sq,ordered_frontier,one_step,1.0,2.5,0.7
91,p091,ordered_lin,multigeodesic,one_step,1.0,0.0,0.3
92,p092,ordered_lin,multigeodesic,terminal_two_step,1.0,2.5,0.7
93,p093,ordered_sq,multigeodesic,one_step,12.0,0.0,0.9
94,p094,ordered_lin,multigeodesic,one_step,0.5,0.0,0.3
95,p095,ordered_sq,current,one_step,12.0,0.0,0.1
96,p096,ordered_lin,ordered_frontier,terminal_two_step,8.0,5.0,0.9
97,p097,ordered_lin,ordered_frontier,terminal_two_step,2.0,2.5,0.7
98,p098,ordered_lin,ordered_frontier,one_step,1.0,2.5,0.3
99,p099,ordered_sq,multigeodesic,one_step,4.0,2.5,0.3
